"","ClassActinopterygii","ClassAves","ClassMammalia","ClassReptilia","nchar","haddock_score_mean","haddock_score_sd","ForStrat.ground","ForStrat.understory","ForStrat.arboreal","ForStrat.aerial","ForStrat.marine","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","incubation_d","weaning_d","log_litterclutch_size_n","litters_or_clutches_per_y","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","maximum_longevity_y","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","gestation_d","longevity_y","log_female_body_mass_g","log_male_body_mass_g","log_no_sex_body_mass","adult_svl_cm","diet_breadth","range_size","major_habitat_type_breadth","tnc_ecoregion_breadth","AA_30_positive","OrderCarnivora","OrderChiroptera","OrderPasseriformes","OrderPerciformes","OrderPrimates","OrderRodentia","ClassActinopterygii.1","ClassAves.1","ClassMammalia.1","ClassReptilia.1","above_haddock_median"
"30",0,0,1,0,806,-138.61938,1.70744608035901,0,0,0,0,1,1,1,0,1461,2007,240,107,0,0.695,-0.000684694349687224,8.56252309005184,9.40178683654714,10.9235042248777,35,NA,NA,NA,NA,254.74932,26,NA,10.2750511089686,NA,193.241,0.2,16894097.3684715,0.25,0.0952380952380952,1,1,0,0,0,0,0,0,0,1,0,0
"31",0,1,0,0,805,-116.78836,1.30975887704569,0,1,1,0,0,0,0,1,364.234,365,16.25,NA,0.693147180559945,2,NA,NA,NA,1.48160454092422,8.5,NA,NA,0.1175,NA,NA,6.3,1.39500630172191,1.50407739677627,1.56861591791385,NA,0.2,493015.732928834,0.25,0.107142857142857,1,0,0,0,0,0,0,0,1,0,0,1
"32",0,1,0,0,809,-119.38505,2.0992934511137,1,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59151638484626,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59151638484626,NA,0.4,NA,NA,NA,1,0,0,1,0,0,0,0,1,0,0,1
"33",0,0,1,0,805,-115.58817,2.13522575702066,1,0,0,0,0,0,0,1,1278.156,1278,395,319.289,0,0.5,0.692462486210258,10.4772879754635,NA,13.0710700830168,40,NA,NA,NA,NA,396.495,35.4,NA,NA,NA,345,0.1,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,1
"34",0,0,1,0,805,-115.58817,2.13522575702065,1,0,0,0,0,0,0,1,1252.0934,2191,405,472.63934,0,0.7,0.514031979907788,10.5153052291052,12.4430559836506,12.9807998130825,40,NA,NA,224.779,310.65,395.755,34.2,NA,NA,12.9165684644247,345,0.1,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,1
"35",0,0,1,0,805,-115.58817,2.13522575702066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202139.12478087,0.125,0.0357142857142857,1,0,0,0,0,0,0,0,0,1,0,1
"36",0,0,1,0,804,-128.86939,3.9167938457224,1,0,0,0,0,0,1,1,446.488,685,155,159.02,0.405465108108164,1,0.110685122743941,7.71868549519847,NA,11.0103986440189,20.8,NA,NA,NA,312.45,155.5,20.8,NA,NA,NA,160,0.1,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0
"37",1,0,0,0,812,-125.192651,0.756859301183369,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0188950418118,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0.666666666666667,154771210.269086,0.857142857142857,0.382911392405063,0,0,0,0,0,0,0,1,0,0,0,1
"38",0,1,0,0,806,-117.45045,2.87952776925121,1,1,0,0,0,0,0,1,NA,NA,25.5,NA,0.78845736036427,NA,NA,3.77276093809464,NA,7.36201055125973,NA,NA,NA,NA,NA,NA,NA,7.46737106691756,NA,7.24422751560335,NA,0.5,5932013.3811584,0.4375,0.226190476190476,1,0,0,0,0,0,0,0,1,0,0,1
"39",0,1,0,0,872,-121.83614,2.14249306660359,1,1,0,0,0,0,0,1,365,365,12.5,NA,1.2947271675944,1,NA,1.3609765531356,NA,3.40341724926521,12.083333,NA,NA,NA,NA,NA,11,3.41608599415591,3.39114704580865,3.41114771251532,18,0.2,NA,NA,NA,1,0,0,1,0,0,0,0,1,0,0,1
